timestamp_sec,x_center,y_center,confidence
155.12,686.03,1109.13,0.4077
155.16,690.39,1130.29,0.6877
155.20,695.25,1152.45,0.4185
155.24,694.48,1140.93,0.7079
155.68,692.13,1117.32,0.6224
155.76,691.24,1145.70,0.5447
156.16,671.36,873.19,0.4236
156.20,671.57,873.34,0.4603
156.24,671.67,873.60,0.4476
156.28,671.54,873.69,0.4452
156.32,672.00,873.75,0.4554
156.36,671.90,873.65,0.4647
156.40,671.86,873.74,0.4893
156.44,671.55,873.73,0.4588
156.48,671.68,873.61,0.4245
156.52,671.32,873.21,0.4525
156.56,671.73,873.26,0.4749
156.60,671.45,872.00,0.4843
156.64,671.41,872.31,0.5280
156.68,671.38,872.15,0.4904
156.72,671.46,872.86,0.4208
156.76,668.75,872.25,0.4446
156.80,669.76,872.29,0.4327
156.88,670.17,871.94,0.4735
157.04,781.93,1059.82,0.5599
157.08,790.09,1060.53,0.5178
157.12,796.12,1059.27,0.6875
157.16,803.30,1054.34,0.6015
157.20,809.88,1049.32,0.5547
157.28,817.98,1023.29,0.5551
157.32,819.77,1006.30,0.6274
157.36,822.32,989.34,0.4674
157.40,824.11,975.29,0.7340
157.44,826.35,961.64,0.6068
157.48,829.52,950.61,0.7145
157.52,831.23,943.22,0.5413
157.56,835.55,935.50,0.6327
157.64,841.80,923.61,0.6107
157.68,845.46,919.84,0.7819
157.72,848.10,917.54,0.6608
157.76,851.08,918.52,0.6839
157.80,856.29,918.48,0.6682
157.84,862.27,921.53,0.7165
157.88,865.21,929.65,0.5141
157.92,871.91,934.60,0.5895
158.00,948.81,901.91,0.5361
158.08,1030.41,876.34,0.6599
158.16,1114.48,853.12,0.4866
158.20,1159.35,845.16,0.4364
158.36,1348.24,831.75,0.4186
158.48,1494.56,844.22,0.4865
158.56,1595.32,867.38,0.4334
158.60,1644.80,878.68,0.5846
158.64,1695.30,894.97,0.6595
158.76,1843.90,957.95,0.6472
158.80,1889.33,978.91,0.4501
158.88,1987.42,1025.61,0.5776
158.92,2033.34,1053.41,0.4371
159.36,2223.49,976.16,0.6915
159.40,2218.05,945.71,0.5893
159.44,2217.61,921.81,0.6608
159.48,2213.38,896.16,0.5816
159.52,2212.56,875.30,0.4814
159.64,2197.42,823.19,0.5211
159.72,2189.11,796.44,0.5847
159.76,2188.50,790.10,0.5535
159.80,2182.42,783.07,0.5965
159.84,2179.02,775.74,0.5835
159.88,2177.58,773.79,0.4444
159.92,2172.01,767.21,0.5530
159.96,2170.21,767.20,0.5834
160.04,2160.69,771.37,0.4981
160.24,2143.66,802.09,0.5114
160.28,2138.44,815.24,0.5182
160.32,2136.63,825.63,0.4950
160.36,2135.32,840.99,0.5034
160.48,2123.17,883.47,0.5772
160.52,2119.07,901.64,0.6192
160.56,2114.29,902.43,0.6897
160.60,2117.45,867.57,0.4740
160.64,2122.73,831.41,0.4518
160.76,2131.36,732.93,0.5647
160.88,2139.38,646.44,0.5703
161.00,2147.19,578.93,0.5112
161.04,2148.49,556.80,0.4965
161.24,2159.73,479.92,0.5035
161.28,2160.94,469.52,0.5414
161.32,2162.78,456.22,0.6937
161.36,2165.41,447.73,0.7383
161.40,2167.73,444.09,0.5527
161.52,2172.30,434.84,0.5961
161.56,2174.62,434.24,0.6319
161.60,2177.17,435.30,0.5033
161.64,2176.57,438.12,0.4033
161.80,2183.89,461.03,0.5696
161.84,2182.28,474.34,0.5403
161.88,2185.90,485.44,0.5239
161.92,2187.00,497.60,0.5507
161.96,2187.34,510.95,0.6079
162.00,2187.18,527.00,0.7109
162.08,2188.51,564.29,0.6468
162.12,2192.58,586.76,0.7148
162.16,2192.72,607.54,0.7160
162.20,2192.61,633.12,0.6990
162.24,2192.09,658.80,0.6830
162.28,2191.30,684.40,0.6489
162.32,2190.41,712.78,0.6944
162.36,2189.11,742.12,0.6193
162.40,2190.85,773.83,0.5230
162.48,2188.46,842.20,0.4945
162.52,2186.20,869.24,0.4974
162.64,2057.00,844.39,0.6742
162.68,2014.03,840.28,0.5812
162.72,1970.45,838.23,0.5831
162.84,1845.49,844.21,0.4258
162.88,1800.09,846.89,0.5530
163.28,1411.63,996.22,0.4040
163.32,1375.32,1022.96,0.4667
163.56,1288.53,1097.25,0.4083
163.68,1323.72,918.93,0.6065
163.72,1326.75,898.88,0.6270
163.76,1329.03,879.65,0.6447
163.88,1339.93,836.94,0.5028
163.92,1346.95,825.07,0.5309
163.96,1349.88,814.43,0.5284
164.04,1359.61,797.94,0.4780
164.20,1379.32,787.60,0.4831
164.52,1426.87,876.27,0.5327
