timestamp,X,Y,Z,VX,VY,VZ
155.92,-13.529602390938802,-2.166541439505454,-0.3982574949752024,0.06231158804821108,-1.1508589881367526,-7.514106658372109
156.12,-13.73426512941517,-2.279898626156337,-2.031905096390355,0.022560607994772906,-1.034965650923017,-9.457956168535778
156.56,-13.544770533340927,-2.5321768048497595,-6.650987289864504,-0.0037540193590532875,-0.8310120346855733,-13.648807723559289
156.6,-13.45001352989217,-2.4877920743660478,-6.9729076257071005,-0.0051183477577965925,-0.8007127899478368,-14.038102406384573
156.6,-13.21165072029954,-2.580475879052454,-6.739055152780477,-0.00564738210686054,-0.8469661994236565,-13.877939831077919
156.64,-13.03583085723473,-2.6369328293488095,-7.074612121046825,-0.07056388476963228,-0.8556908887349143,-14.114922657148915
156.8,-12.690192683816251,-2.6814490783830283,-9.112539569624282,-0.2586491496114396,-0.7600004429786548,-15.275746012879827
156.84,-12.551106642758105,-2.6139439697167277,-9.430845764823554,-0.35325773160130935,-0.7663091020037954,-15.597753830859238
156.88,-12.507431370756176,-2.610802964845081,-9.785087942130259,-0.3932948599333819,-0.8694295484323892,-15.95264574916185
156.92,-12.552370160196574,-2.556272645574347,-10.094856548641364,-0.46961811677171905,-1.1328815385532274,-16.27186630774755
156.96,-12.427155488838606,-2.5840161675642,-10.466597857325649,-0.4049656557908613,-0.965209580042801,-16.600421457434653
157.0,-12.099605721003359,-2.5730790380032866,-10.77672029340396,-0.24199035799180196,-0.7636976290510453,-16.85732802960655
157.0,-11.982651199196274,-2.4797145697854046,-10.390920818809168,-0.23194981824673516,-0.8484770108101996,-16.800034846072915
157.04,-12.039792506635989,-2.4797898905590174,-10.741058213863159,-0.2141795582658221,-0.8476570959133674,-17.192759607840497
157.04,-12.024299248171033,-2.2768678913835276,-10.43115618188544,-0.17577759264333517,-0.8420657872049567,-17.242613809592857
157.08,-11.917108124176526,-2.2527587677598495,-10.766311185463058,-0.2251252582205301,-0.7182933072428188,-17.716736680437553
157.08,-11.927952833160003,-2.2034448202133263,-10.447081593598623,-0.25449964081439796,-0.759354715069263,-17.71311970378811
157.12,-11.865646506172899,-2.190095207955735,-10.894203078772088,-0.25424233754357295,-0.8096005520667793,-18.100770513267577
157.12,-11.727784318953496,-1.9979687701393825,-10.601398795630427,-0.2160146134240568,-0.8600829314360855,-18.17886326649489
157.16,-11.69089240205034,-1.8626443037565739,-11.057981287930966,-0.12291802967128887,-0.8368100008415563,-18.67717073542705
157.16,-11.617162568803174,-1.6331311472505927,-10.694445612518965,-0.022405154038956713,-0.7361588215222011,-18.784196562645057
