timestamp_sec,x_center,y_center,confidence
12.11,1013.57,960.67,0.7563
154.92,1020.70,957.32,0.7002
154.96,1029.02,969.84,0.6629
155.00,1034.45,993.95,0.6803
155.04,1035.77,1033.05,0.6982
155.08,1040.51,1083.99,0.7675
155.12,1045.81,1129.03,0.7595
155.16,1050.42,1180.01,0.8049
155.20,1049.95,1182.78,0.8258
155.24,1053.00,1142.59,0.7849
155.28,1053.99,1107.15,0.8149
155.32,1057.08,1075.49,0.7568
155.36,1056.14,1046.24,0.7542
155.40,1058.28,1020.65,0.6901
155.44,1057.89,997.81,0.7117
155.48,1062.56,982.95,0.7204
155.52,1062.71,987.37,0.6958
155.56,1066.55,1012.08,0.7114
155.60,1055.53,1056.27,0.7283
155.64,1048.92,1108.91,0.7680
155.68,1040.82,1160.47,0.7804
155.72,1032.29,1195.92,0.6721
155.76,1031.35,1149.07,0.6945
155.80,1026.57,1112.05,0.6725
155.84,1024.22,1076.78,0.6908
155.88,1022.83,1042.66,0.5690
156.20,1048.59,1002.92,0.6391
156.24,1058.03,997.08,0.5905
156.28,1068.28,996.61,0.5914
156.32,1077.93,995.29,0.6965
156.36,1091.24,987.72,0.5174
156.40,1106.30,981.91,0.5766
156.44,1118.71,975.11,0.6910
156.48,1133.77,967.07,0.7192
156.52,1149.65,962.94,0.6981
156.56,1164.41,960.00,0.7557
156.60,1179.10,956.72,0.6982
156.64,1194.75,956.89,0.7507
156.68,1212.57,954.62,0.6740
156.72,1229.85,957.98,0.7299
156.76,1247.43,958.36,0.6938
156.80,1263.62,963.78,0.7496
156.84,1279.97,967.91,0.7761
156.88,1295.14,977.12,0.6973
156.92,1313.31,983.41,0.6847
156.96,1330.17,991.82,0.6649
157.00,1352.04,994.85,0.7268
157.04,1373.60,1000.50,0.7150
157.08,1397.04,999.49,0.6883
157.12,1422.29,992.05,0.7072
157.20,1477.10,965.62,0.5992
157.24,1498.56,936.79,0.7218
157.28,1518.20,897.96,0.6180
157.32,1533.70,864.67,0.6670
157.36,1550.54,835.59,0.4619
157.40,1569.14,808.89,0.6383
157.44,1581.39,778.83,0.6237
157.48,1599.05,761.05,0.6394
157.52,1616.97,743.15,0.6780
157.56,1629.58,732.94,0.5505
157.60,1642.14,722.34,0.6434
157.64,1658.73,716.21,0.6509
157.68,1671.73,712.77,0.7483
157.72,1685.70,711.66,0.7528
157.76,1699.41,716.71,0.6648
157.80,1707.97,721.54,0.6840
157.84,1720.28,733.84,0.6639
157.88,1733.60,745.44,0.6230
157.92,1813.81,735.87,0.5716
158.44,3084.70,706.54,0.6038
158.48,3157.43,735.18,0.4043
158.56,3296.54,778.90,0.7064
158.60,3360.87,808.02,0.5655
158.64,3415.03,845.89,0.6371
158.72,3525.28,916.51,0.5293
158.76,3576.92,950.38,0.6305
158.80,3624.46,990.18,0.6424
158.84,3666.57,1030.59,0.6892
158.88,3710.35,1068.34,0.6250
158.92,3749.25,1104.25,0.5003
159.32,3824.15,984.32,0.4748
159.36,3812.98,938.02,0.7043
159.40,3801.54,899.37,0.4901
159.44,3785.80,861.69,0.6980
159.48,3771.50,832.12,0.5840
159.52,3756.42,799.32,0.5980
159.56,3738.80,770.70,0.6548
159.60,3727.40,746.82,0.4914
159.64,3707.19,721.30,0.5668
159.68,3693.83,700.11,0.4754
159.72,3674.44,683.41,0.5933
159.76,3658.05,673.01,0.4100
159.80,3640.51,654.36,0.4446
159.84,3621.98,646.77,0.5115
159.88,3603.79,639.50,0.6522
159.92,3588.28,636.19,0.6323
159.96,3568.12,634.07,0.6338
160.00,3549.62,632.42,0.6380
160.04,3531.25,634.99,0.6581
160.08,3510.08,638.69,0.4621
160.12,3492.15,645.04,0.6135
160.20,3452.54,665.98,0.6541
160.24,3431.22,682.14,0.5273
160.28,3412.21,697.28,0.5888
160.32,3393.25,713.86,0.5137
160.36,3371.93,731.55,0.4835
160.40,3352.53,754.20,0.6277
160.44,3331.25,776.89,0.7421
160.48,3309.12,804.76,0.5481
160.52,3288.42,825.76,0.5643
160.56,3299.89,778.49,0.7073
160.60,3318.59,722.72,0.5152
160.64,3330.64,670.27,0.5812
160.68,3345.67,617.14,0.4742
160.72,3362.58,569.40,0.5454
160.76,3375.10,522.79,0.6791
160.80,3389.03,477.43,0.6462
160.84,3399.76,439.30,0.5893
160.88,3412.51,398.70,0.6336
160.92,3427.68,362.81,0.6033
160.96,3438.46,328.66,0.6961
161.00,3447.87,296.28,0.7310
161.04,3458.27,268.14,0.7301
161.08,3468.52,240.90,0.5360
161.12,3477.58,216.80,0.6530
161.16,3487.30,195.80,0.6531
161.20,3494.51,177.61,0.5005
161.24,3503.42,159.90,0.6101
161.28,3510.14,146.21,0.5323
161.32,3518.96,132.66,0.6920
161.36,3526.76,123.10,0.7088
161.40,3536.69,115.72,0.6821
161.44,3540.89,113.44,0.6545
161.48,3546.08,111.07,0.6087
