timestamp_sec,x_center,y_center,confidence
157.16,1744.75,1292.52,0.4244
157.20,1746.95,1253.22,0.3777
157.28,1754.81,1155.19,0.4288
157.32,1760.19,1102.00,0.5797
157.36,1770.64,1051.11,0.6495
157.40,1776.95,1017.33,0.6917
157.44,1781.84,980.96,0.6878
157.52,1789.83,914.91,0.5756
157.56,1796.23,893.90,0.5773
157.60,1798.69,875.78,0.5673
157.64,1809.00,862.01,0.5360
157.68,1814.02,850.60,0.5090
157.76,1825.44,842.71,0.6416
157.96,1872.18,724.37,0.5495
158.08,1925.96,547.36,0.4126
158.16,1959.93,452.09,0.4344
158.20,1974.19,425.62,0.6396
158.24,1988.77,389.16,0.3721
158.28,1993.91,364.39,0.3621
158.32,2007.43,346.75,0.3505
158.40,2018.68,320.41,0.4805
158.44,2021.40,308.98,0.4060
158.68,2047.22,326.13,0.4372
158.80,2044.59,365.18,0.4003
158.84,2045.19,379.16,0.3822
158.88,2043.42,398.37,0.3123
159.00,2029.19,451.58,0.3054
159.60,1738.63,154.18,0.3121
159.64,1708.80,142.45,0.5885
159.76,1635.02,112.36,0.5044
159.84,1588.56,102.76,0.4513
159.88,1567.75,101.20,0.3400
159.96,1513.36,99.92,0.5274
160.04,1471.17,112.33,0.3011
160.08,1447.54,126.45,0.3438
160.16,1395.42,147.08,0.4774
160.28,1327.78,203.17,0.3809
160.36,1281.47,255.52,0.4103
160.44,1238.55,302.03,0.3459
160.48,1215.71,330.92,0.4955
160.68,1203.33,180.16,0.5296
160.72,1208.77,127.13,0.4708
160.76,1212.14,77.80,0.3444
160.80,1218.20,32.77,0.3266
161.48,1296.19,670.56,0.3293
162.52,1472.28,249.10,0.3768
162.56,1468.45,250.44,0.3474
163.44,1548.55,836.36,0.4963
163.48,1600.79,764.61,0.4912
163.80,2021.97,374.32,0.4840
163.96,1506.45,1037.22,0.3392
164.00,2239.39,238.96,0.3079
164.04,2288.42,228.19,0.4313
164.08,2328.21,216.38,0.3356
164.12,2365.78,198.12,0.4872
164.16,2406.50,192.75,0.5362
164.24,2480.29,186.65,0.5601
164.28,2522.51,189.61,0.3540
164.32,2557.21,189.14,0.4290
164.36,2590.58,197.30,0.4463
164.40,2624.71,204.88,0.3894
164.60,2776.18,292.45,0.3729
164.68,2834.91,337.58,0.3339
164.72,2860.78,361.73,0.3078
164.80,2911.99,416.74,0.3270
164.84,2930.84,451.09,0.4274
164.92,2978.42,524.93,0.4479
165.00,3019.06,600.58,0.4771
165.48,3200.69,640.54,0.3026
165.84,3315.48,529.87,0.3750
