timestamp_sec,x_center,y_center,confidence
155.00,1852.70,1206.26,0.3422
155.04,1845.05,1250.02,0.6836
155.08,1834.27,1310.64,0.6796
155.12,1816.57,1383.94,0.6374
155.16,1800.46,1463.00,0.6948
155.20,1782.83,1547.81,0.5805
155.24,1792.64,1492.99,0.6724
155.28,1801.93,1442.30,0.6501
155.32,1808.23,1386.82,0.5805
155.36,1811.79,1335.19,0.5995
155.40,1824.50,1287.48,0.6617
155.44,1826.62,1243.62,0.6817
155.48,1829.22,1219.64,0.6651
155.52,1831.60,1201.46,0.5856
155.56,1827.59,1212.39,0.6600
155.60,1818.47,1262.28,0.6749
155.64,1810.19,1350.15,0.6195
155.68,1800.52,1433.44,0.6534
155.72,1792.00,1528.08,0.6114
155.76,1798.20,1528.35,0.6228
155.80,1812.51,1466.50,0.6614
155.84,1827.17,1408.76,0.6109
155.88,1837.61,1362.47,0.6332
155.92,1861.17,1306.60,0.6391
156.20,1842.79,1234.79,0.5352
156.24,1829.92,1220.58,0.5111
156.28,1822.93,1205.29,0.5900
156.32,1808.90,1199.84,0.5871
156.36,1804.77,1185.91,0.5100
156.40,1794.57,1172.96,0.5506
156.44,1775.73,1160.88,0.5699
156.48,1761.53,1152.63,0.5197
156.52,1750.69,1137.42,0.5000
156.56,1734.05,1128.30,0.6687
156.60,1714.01,1113.79,0.5379
156.64,1684.98,1096.63,0.6225
156.68,1666.70,1088.38,0.5560
156.72,1647.28,1083.70,0.6094
156.76,1633.34,1074.87,0.4332
156.80,1619.92,1069.59,0.5882
156.84,1605.31,1069.35,0.5789
156.88,1587.69,1070.13,0.3448
156.92,1589.03,1065.13,0.4983
156.96,1572.89,1064.99,0.4403
157.00,1543.46,1068.02,0.4587
157.04,1532.19,1067.27,0.3106
157.12,1505.11,1033.07,0.5696
157.16,1493.43,1005.64,0.4805
157.24,1467.13,920.46,0.6112
157.28,1456.83,862.89,0.5698
157.32,1459.91,803.38,0.5631
157.36,1462.13,748.21,0.6396
157.40,1459.05,699.10,0.6002
157.44,1455.74,652.18,0.5445
157.48,1453.26,611.08,0.5114
157.52,1443.91,578.91,0.5313
157.56,1440.56,546.51,0.5506
157.60,1433.40,519.44,0.5817
157.64,1426.68,496.21,0.6276
157.68,1423.92,479.10,0.4972
157.72,1420.82,471.08,0.4157
157.76,1418.32,467.15,0.6110
157.80,1411.78,466.06,0.5661
157.84,1400.51,468.94,0.4740
157.88,1388.77,474.74,0.6289
157.92,1385.42,486.54,0.5015
157.96,1346.88,439.41,0.6326
158.00,1277.06,360.39,0.5752
158.08,1160.71,233.21,0.2868
158.12,1113.28,174.32,0.3298
158.16,1056.40,118.46,0.4403
158.20,1008.58,78.21,0.2595
158.24,960.39,43.96,0.3915
158.28,913.79,23.85,0.3383
158.80,416.91,47.48,0.3444
158.84,388.59,75.26,0.6253
158.88,354.67,102.16,0.6015
158.92,324.61,122.73,0.4077
158.96,295.60,163.83,0.4819
159.00,265.00,190.92,0.4800
159.04,236.75,220.82,0.4888
159.08,209.52,246.05,0.4259
159.12,177.12,282.53,0.5522
159.20,128.18,227.38,0.5129
159.24,96.50,178.94,0.5161
159.28,76.80,127.69,0.4365
159.36,21.13,44.97,0.2798
159.40,14.17,22.48,0.3119
163.12,13.74,248.37,0.4570
163.16,41.27,304.02,0.6746
163.20,88.42,365.85,0.6380
163.24,128.61,434.12,0.5510
163.32,220.59,587.90,0.5181
163.36,266.58,664.73,0.5027
163.48,416.95,620.85,0.4516
163.52,469.13,537.89,0.6690
163.56,518.31,448.53,0.6508
163.60,562.97,368.84,0.5608
163.64,608.55,295.63,0.6680
163.68,659.72,226.08,0.6889
163.76,742.27,112.22,0.2902
163.80,781.69,65.12,0.4887
164.84,1496.92,37.15,0.4621
164.88,1510.51,74.90,0.6292
164.92,1524.81,112.34,0.6066
164.96,1540.89,155.81,0.3002
165.00,1554.57,202.50,0.5663
165.04,1567.38,253.38,0.5972
165.08,1578.89,292.25,0.5798
165.12,1592.21,344.90,0.6016
165.16,1608.51,396.00,0.6036
165.24,1618.65,500.94,0.3419
165.32,1646.26,445.27,0.3169
165.48,1699.32,300.28,0.6209
165.56,1725.80,240.15,0.2849
165.60,1738.94,218.13,0.4132
165.76,1785.84,147.70,0.5393
165.84,1807.97,133.90,0.5549
165.88,1820.22,131.32,0.3063
165.92,1827.36,129.09,0.5133
165.96,1840.81,129.58,0.5041
