timestamp_sec,x_center,y_center,confidence
157.20,1768.70,895.08,0.4776
157.32,1760.95,843.85,0.6374
157.40,1756.28,811.11,0.6073
157.52,1748.01,776.58,0.4004
157.60,1742.81,763.38,0.4988
157.64,1739.37,756.81,0.6302
157.68,1737.38,752.87,0.6381
157.72,1734.85,752.80,0.6297
157.76,1732.13,754.31,0.5991
157.80,1730.13,754.98,0.5963
157.84,1727.88,761.06,0.4664
157.96,1704.48,753.82,0.4293
158.04,1677.19,732.51,0.4633
158.08,1662.33,724.56,0.4192
158.16,1634.75,706.74,0.4509
158.20,1618.39,703.62,0.5041
158.24,1601.70,701.54,0.5707
158.32,1571.30,704.11,0.5697
158.40,1540.36,720.44,0.6041
158.44,1526.57,733.58,0.5078
158.48,1510.76,746.62,0.4144
158.60,1463.53,805.50,0.5018
158.68,1436.30,862.77,0.6762
159.52,1650.80,920.86,0.6996
159.56,1685.29,897.03,0.5491
159.76,1844.06,816.85,0.5183
159.80,1878.90,808.90,0.6439
160.00,2033.56,816.61,0.5188
160.08,2095.41,835.64,0.5109
161.04,2345.98,440.89,0.4432
161.08,2339.53,403.66,0.6394
161.12,2333.08,371.64,0.7053
161.16,2326.38,341.50,0.6780
161.20,2315.83,316.17,0.6475
161.24,2304.48,305.66,0.6192
161.84,2188.14,302.89,0.5496
161.88,2180.70,313.89,0.5927
161.92,2172.31,331.98,0.6178
161.96,2165.04,357.97,0.6143
162.00,2156.71,387.96,0.5906
162.04,2148.31,424.68,0.5398
162.08,2138.32,461.81,0.5882
162.12,2128.73,505.56,0.5187
163.56,1769.27,912.86,0.5229
163.68,1664.39,818.94,0.6359
163.72,1631.10,787.92,0.4230
163.76,1597.79,766.25,0.5484
163.80,1558.83,741.03,0.5282
164.16,1244.76,622.03,0.5849
164.20,1211.74,616.99,0.6356
164.28,1144.71,619.03,0.4179
164.44,1008.15,647.14,0.4549
164.52,942.65,675.73,0.6173
164.56,906.78,694.36,0.5038
164.60,872.96,710.86,0.5737
164.64,842.05,733.85,0.6009
164.68,808.02,755.23,0.6644
164.72,776.63,783.52,0.5649
164.76,744.30,811.93,0.5953
164.80,714.85,842.08,0.5272
164.92,615.85,943.84,0.6375
