timestamp_sec,x_center,y_center,confidence
155.84,1074.35,599.01,0.5379
157.48,1101.36,525.40,0.4440
157.52,1101.40,521.09,0.4715
157.64,1102.09,511.86,0.4916
157.68,1101.94,511.52,0.5189
157.72,1101.64,511.62,0.5213
157.76,1101.37,512.55,0.4772
157.96,1104.05,509.18,0.6926
158.00,1106.74,504.71,0.4230
158.04,1111.82,501.61,0.5364
158.12,1118.72,493.64,0.6079
158.24,1130.38,492.47,0.4348
158.28,1132.75,493.43,0.6214
158.32,1138.06,496.03,0.6075
158.36,1140.65,503.15,0.5757
158.40,1142.48,507.14,0.5426
158.44,1145.92,514.43,0.6747
158.48,1149.40,523.82,0.6917
158.52,1152.52,535.30,0.5144
158.68,1167.08,595.73,0.4781
158.84,1188.19,676.61,0.6137
158.88,1192.82,700.50,0.7227
158.92,1200.27,728.42,0.6866
158.96,1205.43,754.55,0.7296
159.32,1330.12,716.22,0.5920
159.36,1349.25,696.46,0.4243
159.64,1462.31,599.97,0.6715
159.68,1476.73,594.86,0.4737
159.76,1505.53,587.65,0.5847
159.80,1520.71,586.32,0.5923
159.84,1534.67,583.11,0.7114
159.88,1546.48,583.60,0.6075
159.92,1559.08,583.96,0.5685
159.96,1570.42,587.74,0.6393
160.00,1586.15,591.35,0.5741
160.12,1617.74,613.46,0.4790
160.16,1626.51,622.12,0.6394
160.20,1640.77,630.16,0.6136
160.28,1657.13,655.96,0.5669
160.32,1661.28,676.97,0.5384
160.36,1672.20,684.09,0.6767
160.40,1680.88,701.58,0.7065
160.48,1795.38,715.17,0.6105
160.52,1795.46,715.06,0.5942
160.56,1795.45,715.10,0.6122
160.60,1795.44,715.10,0.5735
160.64,1795.46,715.08,0.5517
160.68,1795.46,715.08,0.5741
160.72,1795.49,714.92,0.5838
160.76,1795.44,714.92,0.5631
160.80,1795.47,714.90,0.5761
161.00,1736.58,435.92,0.6518
161.04,1738.10,418.13,0.6809
161.08,1739.71,402.00,0.7136
161.12,1737.91,386.86,0.6903
161.16,1737.65,373.92,0.6935
161.20,1737.36,362.98,0.7729
161.24,1736.85,352.02,0.7568
161.28,1735.91,342.39,0.7200
161.32,1734.95,332.56,0.6557
161.36,1733.04,328.82,0.6892
161.40,1733.58,321.19,0.6847
161.44,1731.05,316.27,0.6959
161.48,1727.30,313.63,0.7365
161.52,1722.70,313.45,0.7433
161.56,1719.81,314.87,0.6882
161.60,1718.11,315.62,0.6476
161.64,1716.54,318.97,0.6578
161.68,1712.39,322.41,0.6418
161.72,1706.82,328.08,0.6899
161.76,1702.27,334.93,0.6700
161.80,1697.75,343.27,0.6864
161.84,1692.62,352.92,0.6806
161.88,1688.05,361.79,0.6249
161.92,1681.95,373.43,0.6146
161.96,1676.80,388.15,0.5511
162.00,1671.90,402.41,0.6219
162.04,1665.62,418.07,0.6543
162.08,1659.81,436.85,0.6999
162.12,1651.74,456.20,0.7144
162.16,1646.89,474.51,0.5316
162.20,1640.86,498.34,0.5134
162.32,1620.44,567.16,0.4528
162.44,1598.07,649.05,0.5324
162.48,1592.01,679.65,0.4573
162.52,1577.24,673.61,0.6503
162.56,1560.40,659.49,0.5674
162.92,1413.69,600.32,0.5142
163.20,1314.03,636.59,0.5363
163.24,1300.74,647.89,0.6155
163.36,1264.34,680.62,0.5081
163.56,1203.34,599.03,0.5297
163.68,1166.37,551.30,0.4786
163.72,1153.13,536.36,0.6113
163.76,1141.86,522.10,0.5564
163.80,1129.05,511.50,0.4740
163.84,1115.34,498.86,0.4960
163.92,1088.39,481.08,0.5683
164.08,1030.71,455.38,0.5826
164.12,1016.24,452.35,0.5932
164.16,1001.74,447.34,0.5696
164.24,969.18,448.76,0.5762
164.28,953.90,451.92,0.5884
164.32,938.02,453.22,0.6921
164.36,924.38,455.88,0.6179
164.68,1542.17,761.54,0.5139
164.76,1542.55,761.72,0.6462
164.80,1542.60,762.02,0.6130
164.84,1542.64,761.82,0.5586
164.88,1542.15,761.26,0.5819
164.92,1541.77,760.88,0.6632
164.96,1541.96,760.54,0.6868
165.00,1542.04,761.05,0.6867
165.04,1541.49,760.80,0.6869
165.08,1541.21,760.80,0.6882
165.12,1541.04,760.11,0.7152
165.16,1540.81,759.43,0.7059
165.20,1540.95,759.61,0.5990
165.24,1540.42,759.19,0.5723
165.28,1540.39,759.24,0.6452
165.32,1540.60,759.21,0.6373
165.36,1540.78,759.59,0.6321
165.40,1540.37,759.60,0.6059
165.44,1540.56,760.07,0.4878
165.48,1540.81,760.34,0.4655
165.52,1540.92,760.46,0.4496
