timestamp_sec,x_center,y_center,confidence
12.11,117.45,858.33,0.4301
154.96,119.50,861.48,0.4346
155.00,119.62,861.61,0.4043
155.04,121.34,862.53,0.4667
155.08,121.80,862.74,0.5075
155.12,122.47,863.78,0.4717
155.16,123.32,864.27,0.5339
155.20,122.78,864.53,0.4467
156.52,1048.14,1620.74,0.4402
156.56,1055.63,1622.83,0.5021
158.08,104.84,910.26,0.4394
158.76,140.76,806.01,0.6002
159.04,535.13,1095.04,0.4586
159.32,679.58,840.45,0.6433
159.40,702.84,745.13,0.5681
159.44,716.35,703.67,0.5297
159.48,724.54,666.19,0.4815
160.16,964.55,491.23,0.4377
160.52,1096.37,697.75,0.6286
160.76,1053.72,375.35,0.6249
160.80,1049.26,321.89,0.6294
160.92,1031.46,184.05,0.4111
160.96,1026.18,144.79,0.5481
161.04,1017.61,73.41,0.5820
161.08,1012.89,41.51,0.5551
161.96,955.28,22.52,0.4002
162.00,953.51,43.63,0.4728
162.04,957.70,72.98,0.5534
162.28,967.53,325.23,0.6028
162.52,952.85,626.88,0.6178
163.00,284.14,675.04,0.6620
163.04,240.11,696.81,0.6653
163.08,199.14,720.11,0.7160
163.12,156.21,748.00,0.7196
163.16,115.33,775.28,0.5917
163.20,78.83,805.17,0.6224
163.24,38.64,840.42,0.6266
163.32,20.23,949.41,0.4938
163.36,13.19,959.90,0.5290
163.40,8.83,974.95,0.5855
