timestamp_sec,x_center,y_center,confidence
12.11,2117.79,1229.31,0.6764
154.96,2131.90,1229.58,0.7339
155.00,2129.37,1251.48,0.4301
155.04,2139.25,1287.98,0.5570
155.08,2128.19,1345.98,0.6786
155.12,2134.19,1406.30,0.4688
155.16,2140.02,1472.24,0.7046
155.20,2121.24,1545.70,0.4003
155.24,2139.14,1502.90,0.6696
155.28,2125.59,1452.18,0.4975
155.32,2158.75,1402.56,0.7167
155.36,2162.81,1359.21,0.7198
155.40,2154.27,1324.27,0.6377
155.44,2157.00,1291.11,0.5575
155.48,2180.25,1258.56,0.7495
155.52,2179.90,1250.96,0.6800
155.56,2186.28,1254.97,0.7065
155.60,2155.58,1301.81,0.5955
155.76,2099.74,1512.34,0.5867
155.80,2098.96,1464.93,0.5963
155.84,2113.36,1420.56,0.4408
155.88,2114.38,1377.02,0.5305
156.16,2142.48,1293.62,0.5485
156.28,2182.14,1276.15,0.5935
156.32,2196.83,1267.69,0.7296
156.36,2211.80,1257.71,0.4360
156.48,2237.28,1202.79,0.5299
156.52,2252.03,1191.58,0.4542
156.56,2266.22,1180.46,0.5815
156.60,2285.56,1171.42,0.6684
156.76,2360.48,1175.07,0.5231
157.12,2563.73,1193.79,0.6597
157.16,2589.87,1177.86,0.7293
157.20,2623.24,1154.28,0.6325
157.24,2658.41,1123.55,0.7395
157.28,2686.09,1080.90,0.6393
157.32,2709.84,1028.28,0.5792
157.36,2736.40,984.28,0.6636
157.40,2759.67,944.96,0.6520
157.44,2778.46,906.05,0.5796
157.48,2805.12,873.74,0.6639
157.52,2824.25,838.37,0.7307
157.56,2848.09,817.42,0.4497
157.60,2870.81,800.23,0.6184
157.64,2878.68,790.92,0.5504
158.08,2387.93,232.44,0.4073
158.12,2387.94,232.43,0.4077
160.40,3825.02,456.72,0.4914
160.44,3803.80,485.84,0.6165
160.48,3777.92,504.07,0.6745
160.52,3748.89,535.24,0.5640
160.56,3720.61,560.28,0.4916
160.60,3740.62,499.08,0.6248
160.64,3758.34,439.79,0.6202
160.68,3775.00,380.23,0.5956
160.72,3793.27,319.92,0.4109
160.80,3818.32,212.99,0.4072
160.84,3829.22,163.88,0.5197
162.84,3822.46,492.36,0.5577
162.88,3798.83,501.45,0.6583
162.92,3766.94,506.27,0.4996
163.28,3357.95,842.26,0.6612
163.32,3305.88,894.96,0.5941
163.44,3254.53,988.64,0.5392
164.36,3669.52,938.10,0.5822
164.84,3830.04,1197.40,0.4322
