timestamp,X_det,Y_det,Z_det,X_est,Y_est,Z_est,X_smooth,Y_smooth,Z_smooth
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,,,
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.19764241650536,-0.4578240248992168,1.115925323233615
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.20296764004874,-0.4945890755435673,1.0931398534627244
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.20691943439936,-0.525641446943006,1.0749326727935964
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.211201121580261,-0.5420419189372907,1.0516943168858877
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.215246972877488,-0.5414663936620551,1.0261429842678205
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.220768209601314,-0.549296176527416,0.9965491977193375
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.226269699724725,-0.5563944717525824,0.9692036182384194
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.23124298715638,-0.5519046349353736,0.9425254908942653
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.235207957476046,-0.5362387362567826,0.9192560937758991
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.239541026380293,-0.522073551621612,0.8928958256550477
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.244854362591676,-0.5075427846730103,0.8674398644530715
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.247531406695025,-0.4872657267835291,0.8491972434036724
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.247415235836478,-0.4630464121413843,0.8398985816381377
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.246470810535428,-0.4392669963920933,0.8297218993474297
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.24771297694289,-0.41713644313341197,0.8194766427910015
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.243966114275242,-0.39647402792351444,0.8203919518150302
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.23573609067994,-0.3793836741041655,0.8325130761476945
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.225793880885046,-0.3610639590465708,0.8437455076582369
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.219908205122236,-0.34429853017993134,0.8518378155238602
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.20759094004011,-0.333879076401068,0.8699388172787063
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.190344810572425,-0.3310604321601854,0.896127953730038
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.169541706532202,-0.3258388997409296,0.9245420187960844
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15446753114763,-0.3201163142216886,0.9476370820887864
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.132551041475164,-0.32177518041679454,0.9773224792634452
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.10635489809808,-0.3306341036740401,1.0103361208292734
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.074833039583325,-0.33953250168803056,1.0483195161110768
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.046123215856527,-0.3489715656598594,1.0830253005025436
