timestamp,X_det,Y_det,Z_det,X_est,Y_est,Z_est
155.0,-12.15599749612598,0.0283478993964064,1.109370555200472,-12.15599749612598,0.0283478993964064,1.109370555200472
155.0,,,,-12.174234397267343,-0.0014962699392270294,1.125064935825629
155.0,-13.349633672526096,-1.190129544299362,2.456772246178041,-12.885395366652665,-0.7078720463680079,1.8867103189363812
155.0,-11.932674075020516,-0.5236038831113689,1.728904278087403,-12.449181538927169,-0.6119050774005376,1.7959966258065476
155.04,-12.028197696122374,-0.4509956301273967,1.6802780530480188,-12.2345820836088,-0.5518569032091827,1.773617972946841
155.04,-13.355273755882807,-1.2294180971742512,2.4019340338967785,-12.683055560191073,-0.8107817348428272,2.0556340079269697
155.04,,,,-12.666209975275212,-0.821332897123653,2.029527866169991
155.04,-12.13180076741183,-0.0018149068346639,0.9669240197771526,-12.37069243819641,-0.5235857474121588,1.5225494183226245
155.04,-11.99405368188793,1.0101386274679574,0.6103149520018446,-12.20003007739285,0.09564144595916793,1.1607251744743772
155.04,-10.714073906791988,-1.6285455768038222,0.3039582910252946,-11.64522303531893,-0.5112826285120897,0.8138431114816822
155.08,-13.46994323045151,-1.293385111877976,2.3398858127046127,-12.420545535743527,-0.8648617546643541,1.3973470353581718
155.08,-12.174771473945048,-0.3409712446558675,1.620801686595047,-12.281564093180073,-0.6459871575851074,1.470890436378
155.08,-10.696509757698813,-1.6357731241156113,0.1038613785631252,-11.669894143145584,-1.0643926894118125,0.9219471931527309
155.08,,,,-11.640928950239967,-1.059507049132815,0.9289818646568464
155.08,-12.090583925117116,0.0694397569326962,0.7305850625926671,-11.891318019139032,-0.5717543094405373,0.8631053011841661
155.12,-12.054536676513369,0.0424376172034471,0.5239407263414217,-11.947533485880628,-0.31525936882436023,0.7247991877564418
155.12,,,,-11.956961437089713,-0.33679181661283003,0.7265547448209346
155.12,-13.527421624395028,-1.371521360384084,2.2590925651005325,-12.668671851286296,-0.8840163076130553,1.4759315891431672
155.12,-12.35838260406719,-0.1933217491307201,1.556328712650448,-12.52334676414455,-0.610847063442254,1.5216392587559575
155.12,-11.929949474869415,0.9597581948501512,0.1760128790892792,-12.31932641854906,-0.028793870085081132,0.9796436057232231
155.16,-13.650440708917648,-1.4565548865295928,2.1941266480074195,-12.781343772951603,-0.6309852709888644,1.4830594210927026
155.16,-10.64617006258022,-1.628674374211987,-0.4061790527766313,-11.96739892464849,-0.8918397591576454,0.7760969039692547
155.16,-11.999654306151053,0.0974551822586472,0.2553825351502053,-11.961595577225728,-0.5425272184074684,0.5797637536321368
155.16,,,,-11.9673753856859,-0.5364663952582033,0.5725948182946394
155.16,-12.596151812858448,-0.0161206754453591,1.507881584613157,-12.238404103187445,-0.26948912650509005,1.0781973822546889
155.16,-11.895309439968289,0.9011236256541236,-0.0684403900546464,-12.093946234976928,0.2647722588256507,0.638068295073018
155.2,-12.882910337410092,0.1945062551729709,1.4769022342159577,-12.391828936559074,0.22192486183382074,0.9770565647160853
155.2,-11.888386563166533,0.9461875130940576,-0.1518023477171137,-12.137950696007541,0.4972316106074645,0.5403525545481529
155.2,-13.772898357324197,-1.5568622191268873,2.1251502644127807,-12.823024960017857,-0.3368372213502835,1.19116336017306
155.2,-10.60892872538532,-1.635408587631774,-0.7076923949118219,-11.981563407611947,-0.8338585623681734,0.44817651717553575
155.2,-12.044479767950504,0.0154843771598861,0.1389071733301625,-12.031867374428966,-0.5103316818202601,0.3088563730481878
155.2,,,,-12.050390847701584,-0.4990612513611453,0.3003638477210093
155.24,-13.700986995060786,-1.501391818040948,2.160924021645448,-12.827043950359066,-1.0498497692602016,1.2550704467687608
155.24,-10.616989603302512,-1.6311525567622778,-0.5339456857901429,-11.881768740130308,-1.2285284722428917,0.3865611214058409
155.24,-12.688544930046138,0.0562281303536384,1.492490263179779,-12.19869598211913,-0.722107980276318,0.8386878496222276
155.24,,,,-12.217217532439209,-0.7200743820466288,0.8684059756750105
155.24,-12.064151068728156,0.0052962166732546,0.3148589759067567,-12.124485983725114,-0.4122141194382303,0.6183794366596872
155.28,,,,-12.168756449816748,-0.46567413697728005,0.6221786478589856
155.28,-11.897721556073757,0.9823351910076566,0.2071226315794095,-11.996506925513067,0.279391773104734,0.3928278906862751
155.28,-12.521639170335767,-0.0640657987570477,1.5154286512291424,-12.270174699354584,0.12869285391591742,0.9233615593795651
155.28,-13.599119146865824,-1.4342143544428974,2.2063255098564976,-12.831354221051596,-0.4578668142318215,1.3847236295228758
155.28,-12.070228922742402,-0.0026788675652724,0.4790443280450894,-12.517298618404325,-0.23134112834241063,0.983682513640758
155.32,-12.077455238963914,-0.0119783397470977,0.6466255050659045,-12.343559234378787,-0.16317803971304826,0.8374783447267763
155.32,-13.505780585621904,-1.3719118444320526,2.254878644416708,-12.825280850635025,-0.6107986279289782,1.3971567856854903
155.32,-12.338583344591424,-0.1873675596281395,1.5444456871936605,-12.600958384427782,-0.42550262731261335,1.4776537537377743
155.32,-8.781920799651894,-0.1271997967490606,1.0982777905583063,-11.214032961003648,-0.2948145800787303,1.315216088244938
155.32,-11.902423621501038,1.0020257395561103,0.3660372672292907,-11.458204654852867,0.18511119577445853,0.9195986948717281
155.36,-11.912045697161586,1.0278963273101471,0.5092797875727698,-11.582785517215736,0.5059257970166635,0.7174749712531932
155.36,-12.091341971832213,-0.0230695671664622,0.7858943421224869,-11.7959497454294,0.31493530698971,0.7447877321584888
155.36,-8.741364286172162,-0.1316179125853241,1.2266777223559855,-10.627675699451192,0.12785865550429648,0.8827716434549898
155.36,-13.439102810638174,-1.3239979936308717,2.2972749256537885,-11.692466820885418,-0.33397616123539187,1.4580879034726308
155.36,-12.171654534229503,-0.2943633591698703,1.5762146686914151,-11.864931604819267,-0.31491078857338106,1.5083649242417796
155.4,-13.382960131389993,-1.2784314400061645,2.3428017764298623,-12.403564791561221,-0.6769901437092324,1.808724177714001
