epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,22513.5,1.86586,0.84589,0.84245,0.89991,0.65686,0.7162,0.33672,2.26711,1.18906,0.86535,0.0011882,0.0011882,0.0011882
43,23043.9,1.81355,0.83693,0.84975,0.86633,0.67123,0.70393,0.32616,2.36856,1.10473,0.86424,0.0011684,0.0011684,0.0011684
44,23570.5,1.86263,0.83169,0.84443,0.96775,0.68505,0.77974,0.35065,2.20964,1.14077,0.84012,0.0011486,0.0011486,0.0011486
45,24099.1,1.81803,0.82351,0.83789,0.92594,0.68509,0.73696,0.29784,2.38872,1.15809,0.86561,0.0011288,0.0011288,0.0011288
46,24624.5,1.80978,0.83305,0.83575,0.91285,0.66667,0.75392,0.35568,2.27142,1.06949,0.85272,0.001109,0.001109,0.001109
47,25151.2,1.7719,0.79429,0.83777,0.92251,0.70667,0.76326,0.36774,2.09823,1.13998,0.84349,0.0010892,0.0010892,0.0010892
48,25676.3,1.80915,0.80757,0.84023,0.94614,0.72191,0.79212,0.33744,2.26616,1.13374,0.85211,0.0010694,0.0010694,0.0010694
49,26202.4,1.81009,0.80181,0.84561,0.88891,0.65297,0.72067,0.32387,2.35993,1.07989,0.85849,0.0010496,0.0010496,0.0010496
50,26728.5,1.79234,0.79528,0.83902,0.95795,0.69863,0.77112,0.34446,2.23763,1.15656,0.84748,0.0010298,0.0010298,0.0010298
51,27254.1,1.8,0.77929,0.84327,0.98905,0.69406,0.79757,0.40366,2.01996,0.96869,0.83587,0.00101,0.00101,0.00101
52,27786.6,1.80334,0.80408,0.83182,0.88783,0.65059,0.72257,0.36122,2.24137,1.05072,0.8544,0.0009902,0.0009902,0.0009902
53,28313.4,1.78402,0.79225,0.8363,0.86237,0.63927,0.7266,0.31258,2.38778,1.14837,0.86512,0.0009704,0.0009704,0.0009704
54,28839.8,1.71831,0.77557,0.83995,0.8747,0.6758,0.74586,0.30917,2.34064,1.12646,0.8576,0.0009506,0.0009506,0.0009506
55,29364.9,1.79307,0.79946,0.83548,0.9691,0.71607,0.78211,0.31107,2.13029,1.08359,0.85233,0.0009308,0.0009308,0.0009308
56,29890.9,1.79503,0.77918,0.83551,0.8606,0.67123,0.70496,0.32669,2.33204,1.13755,0.85822,0.000911,0.000911,0.000911
57,30416.8,1.7351,0.76361,0.83555,0.80901,0.63014,0.69639,0.31742,2.49792,1.06714,0.87642,0.0008912,0.0008912,0.0008912
58,30945.3,1.71228,0.74865,0.83632,0.90943,0.69863,0.77461,0.371,2.09071,1.01708,0.84859,0.0008714,0.0008714,0.0008714
59,31471.1,1.79798,0.77787,0.83646,0.91143,0.68037,0.74518,0.35654,2.144,1.07307,0.85074,0.0008516,0.0008516,0.0008516
60,32002.4,1.71818,0.73843,0.83929,0.91785,0.69406,0.75863,0.34308,2.19525,1.11345,0.85058,0.0008318,0.0008318,0.0008318
61,32532.4,1.76224,0.77665,0.83194,0.9085,0.6484,0.73163,0.33612,2.31391,1.06467,0.86116,0.000812,0.000812,0.000812
62,33056.5,1.7776,0.78316,0.83617,0.88942,0.64384,0.69858,0.3193,2.29674,1.12964,0.86069,0.0007922,0.0007922,0.0007922
63,33610.5,1.78217,0.8082,0.84041,0.9492,0.67123,0.74639,0.349,2.18711,1.16507,0.84674,0.0007724,0.0007724,0.0007724
64,34137.5,1.71937,0.75469,0.84392,0.91763,0.66133,0.75371,0.32787,2.21043,1.08485,0.84962,0.0007526,0.0007526,0.0007526
65,34743.8,1.72271,0.76762,0.83681,0.91402,0.66667,0.72292,0.34664,2.29552,1.1606,0.86121,0.0007328,0.0007328,0.0007328
66,35292.8,1.69901,0.7505,0.8236,0.91595,0.7032,0.7687,0.32146,2.34886,1.24705,0.85515,0.000713,0.000713,0.000713
67,36036,1.71327,0.74433,0.82394,0.84339,0.621,0.688,0.24727,2.62627,1.30482,0.88247,0.0006932,0.0006932,0.0006932
68,37078.1,1.69271,0.74836,0.83076,0.95648,0.70241,0.7844,0.35308,2.17473,1.15607,0.84783,0.0006734,0.0006734,0.0006734
69,37955.9,1.73449,0.75573,0.83139,0.95465,0.7032,0.78399,0.35168,2.16601,1.0407,0.84461,0.0006536,0.0006536,0.0006536
70,38477.7,1.72712,0.73749,0.84726,0.93317,0.70136,0.77935,0.34234,2.05876,1.0702,0.84489,0.0006338,0.0006338,0.0006338
71,39000.3,1.7163,0.72507,0.83157,0.94897,0.72146,0.81053,0.38943,2.01099,1.07175,0.83823,0.000614,0.000614,0.000614
72,39524.6,1.70318,0.73744,0.82392,0.82804,0.58904,0.66092,0.29693,2.56066,1.20588,0.89013,0.0005942,0.0005942,0.0005942
73,40045,1.66875,0.71407,0.83748,0.86792,0.63014,0.69622,0.32781,2.52733,1.22438,0.88596,0.0005744,0.0005744,0.0005744
74,40565.9,1.63199,0.71949,0.8275,0.93216,0.68037,0.75919,0.35062,2.13882,1.11525,0.85373,0.0005546,0.0005546,0.0005546
75,41078,1.70533,0.73343,0.82894,0.94972,0.72603,0.82125,0.41009,1.9896,1.00846,0.83457,0.0005348,0.0005348,0.0005348
76,41589.7,1.6927,0.70019,0.82963,0.92845,0.65182,0.75468,0.35021,2.31251,1.10312,0.86609,0.000515,0.000515,0.000515
77,42100.8,1.70311,0.72216,0.83536,0.93208,0.68931,0.78423,0.3516,2.31106,1.13704,0.85956,0.0004952,0.0004952,0.0004952
78,42617.9,1.68941,0.69361,0.83525,0.88363,0.69348,0.75618,0.35977,2.19795,1.17019,0.86127,0.0004754,0.0004754,0.0004754
79,43132.4,1.68687,0.72653,0.8279,0.84077,0.651,0.75264,0.32777,2.42348,1.19553,0.87335,0.0004556,0.0004556,0.0004556
80,43645.2,1.73125,0.73264,0.82685,0.84711,0.64384,0.70797,0.28079,2.54952,1.18058,0.87911,0.0004358,0.0004358,0.0004358
81,44155.5,1.66353,0.70919,0.82489,0.9033,0.69863,0.75452,0.36147,2.15444,1.05334,0.85437,0.000416,0.000416,0.000416
82,44672.3,1.64076,0.68884,0.8225,0.88708,0.68493,0.75033,0.32271,2.40319,1.06877,0.86767,0.0003962,0.0003962,0.0003962
83,45183.2,1.66728,0.70095,0.82611,0.92804,0.70671,0.7653,0.33918,2.20164,1.04499,0.84896,0.0003764,0.0003764,0.0003764
84,45698.1,1.62771,0.69458,0.83134,0.8992,0.65297,0.72556,0.34871,2.23952,1.21615,0.86224,0.0003566,0.0003566,0.0003566
85,46206.8,1.6452,0.69891,0.82351,0.84361,0.66503,0.72401,0.31824,2.48584,1.19032,0.88494,0.0003368,0.0003368,0.0003368
86,46718.8,1.65452,0.70136,0.82784,0.97088,0.76108,0.83271,0.37729,2.06129,1.06729,0.83842,0.000317,0.000317,0.000317
87,47227.7,1.5846,0.67473,0.82838,0.94272,0.72603,0.80049,0.37519,2.08666,1.0836,0.84538,0.0002972,0.0002972,0.0002972
88,47739.2,1.61483,0.70679,0.82156,0.92301,0.71166,0.79083,0.35031,2.23391,1.11693,0.85482,0.0002774,0.0002774,0.0002774
89,48248.6,1.60694,0.67251,0.82414,0.96417,0.73717,0.80703,0.39335,2.07777,1.03946,0.84062,0.0002576,0.0002576,0.0002576
90,48762.4,1.62755,0.69174,0.81849,0.92166,0.6621,0.75315,0.3446,2.35137,1.07991,0.87152,0.0002378,0.0002378,0.0002378
91,49267.4,1.70526,0.7471,0.8351,0.88407,0.52511,0.62589,0.28974,2.7204,1.2752,0.91982,0.000218,0.000218,0.000218
92,49778.5,1.59829,0.67468,0.82561,0.8413,0.67777,0.72608,0.31168,2.47773,1.15146,0.88978,0.0001982,0.0001982,0.0001982
93,50286.5,1.60846,0.66343,0.82036,0.89124,0.6895,0.75514,0.29986,2.36176,1.07335,0.87405,0.0001784,0.0001784,0.0001784
94,50796.9,1.58539,0.66544,0.83554,0.88757,0.70776,0.76877,0.34246,2.27087,1.11576,0.86344,0.0001586,0.0001586,0.0001586
95,51308.3,1.576,0.64669,0.83453,0.82874,0.60731,0.67521,0.30657,2.42697,1.18907,0.88901,0.0001388,0.0001388,0.0001388
96,51819.8,1.54738,0.63221,0.82877,0.83926,0.69863,0.74547,0.32802,2.26025,1.11693,0.86763,0.000119,0.000119,0.000119
97,52329.5,1.57252,0.6452,0.81413,0.85072,0.68037,0.74081,0.30079,2.36403,1.14678,0.87471,9.92e-05,9.92e-05,9.92e-05
98,52837.2,1.57546,0.63946,0.82834,0.86372,0.6895,0.76592,0.31772,2.30176,1.12923,0.86988,7.94e-05,7.94e-05,7.94e-05
99,53347.9,1.54412,0.64723,0.82385,0.89626,0.64384,0.74019,0.30421,2.40428,1.1159,0.87633,5.96e-05,5.96e-05,5.96e-05
100,53856.7,1.55509,0.64141,0.82792,0.87789,0.68938,0.76846,0.33052,2.29425,1.08842,0.86479,3.98e-05,3.98e-05,3.98e-05
