epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,7146.54,1.92189,0.90226,0.84579,0.98548,0.74574,0.83294,0.38677,2.18321,1.27089,0.87811,0.0014456,0.0014456,0.0014456
16,7614.54,1.84053,0.84701,0.82972,0.94024,0.69154,0.73883,0.2805,2.51153,1.40717,0.91855,0.001406,0.001406,0.001406
17,8084.04,1.96209,0.90536,0.8451,0.95747,0.74213,0.80629,0.37554,2.25991,1.36439,0.90983,0.0013664,0.0013664,0.0013664
18,8553.33,1.82742,0.82685,0.83962,0.98386,0.81319,0.84682,0.38227,2.01168,1.10398,0.88141,0.0013268,0.0013268,0.0013268
19,9023.35,1.83519,0.83082,0.83984,0.98303,0.63667,0.73818,0.375,1.89802,1.40015,0.90763,0.0012872,0.0012872,0.0012872
20,9490.11,1.79129,0.81909,0.83862,0.95667,0.61538,0.6833,0.3263,1.92995,1.4823,0.88444,0.0012476,0.0012476,0.0012476
21,9960.65,1.78842,0.81588,0.8333,0.92975,0.72723,0.81029,0.45164,1.86226,1.62346,0.8806,0.001208,0.001208,0.001208
22,10440.5,1.81816,0.80641,0.83976,0.91171,0.6809,0.81032,0.4162,1.90276,1.42165,0.86444,0.0011684,0.0011684,0.0011684
23,10909.6,1.75015,0.75827,0.81446,0.86913,0.65683,0.7808,0.3887,2.01565,1.43375,0.87443,0.0011288,0.0011288,0.0011288
24,11379.7,1.80818,0.80227,0.82887,0.95917,0.51626,0.74536,0.35991,1.83791,2.16026,0.8775,0.0010892,0.0010892,0.0010892
25,11852.1,1.79131,0.77363,0.83693,0.99692,0.7033,0.80506,0.43215,1.78913,1.42397,0.86237,0.0010496,0.0010496,0.0010496
26,12323,1.68025,0.72782,0.82221,0.97534,0.74725,0.86609,0.43938,1.85026,1.14048,0.86573,0.00101,0.00101,0.00101
27,12792.8,1.74177,0.73313,0.82986,0.88951,0.7033,0.80987,0.31843,2.35117,1.40353,0.91251,0.0009704,0.0009704,0.0009704
28,13262.1,1.73967,0.73845,0.84095,1,0.73291,0.83952,0.46168,1.77349,1.27456,0.86565,0.0009308,0.0009308,0.0009308
29,13738,1.78731,0.77032,0.83708,0.91412,0.5849,0.77235,0.43192,1.79492,1.8733,0.87856,0.0008912,0.0008912,0.0008912
30,14216.4,1.69842,0.73201,0.82132,0.9593,0.73626,0.84404,0.37658,2.1273,1.56828,0.88734,0.0008516,0.0008516,0.0008516
31,14687.5,1.69516,0.73519,0.82654,0.90428,0.72671,0.79918,0.40777,2.01427,1.51591,0.87644,0.000812,0.000812,0.000812
32,15154.2,1.67072,0.71645,0.83228,0.93603,0.7033,0.80715,0.35176,2.10521,1.43062,0.88318,0.0007724,0.0007724,0.0007724
33,15624,1.68399,0.72614,0.82949,0.99557,0.71429,0.82439,0.45375,1.75437,1.51892,0.85777,0.0007328,0.0007328,0.0007328
34,16095.4,1.64649,0.70821,0.81187,0.88137,0.75824,0.83182,0.3919,2.06327,1.24939,0.8852,0.0006932,0.0006932,0.0006932
35,16565.3,1.65652,0.68821,0.8192,0.98099,0.73626,0.85411,0.43006,1.87317,1.31537,0.87143,0.0006536,0.0006536,0.0006536
36,17032.4,1.68252,0.70771,0.82062,0.985,0.72178,0.8469,0.44781,1.85419,1.38557,0.86378,0.000614,0.000614,0.000614
37,17508.7,1.63902,0.67775,0.83331,0.96894,0.79121,0.8615,0.4505,1.94358,1.28586,0.86919,0.0005744,0.0005744,0.0005744
38,17984.1,1.67711,0.68936,0.82769,0.95548,0.70756,0.81249,0.36972,2.11972,1.40488,0.88686,0.0005348,0.0005348,0.0005348
39,18452.9,1.6349,0.68205,0.82389,0.9575,0.74279,0.82138,0.38814,1.96449,1.33513,0.87627,0.0004952,0.0004952,0.0004952
40,18924.2,1.61273,0.65684,0.82632,0.84461,0.65705,0.80708,0.40376,1.96277,1.84508,0.86701,0.0004556,0.0004556,0.0004556
41,19392.4,1.59512,0.67325,0.8311,0.90303,0.61405,0.80154,0.36278,2.0088,1.65593,0.86782,0.000416,0.000416,0.000416
42,19860.5,1.58305,0.67145,0.82871,0.91194,0.72527,0.84108,0.41065,2.00657,1.42727,0.86622,0.0003764,0.0003764,0.0003764
43,20334.8,1.54979,0.66969,0.81635,0.94619,0.77296,0.87793,0.41255,2.00191,1.28191,0.86449,0.0003368,0.0003368,0.0003368
44,20801.9,1.56496,0.65887,0.82678,0.95346,0.78022,0.85586,0.33448,2.27441,1.2408,0.88993,0.0002972,0.0002972,0.0002972
45,21272.9,1.5242,0.65762,0.81574,0.9337,0.77378,0.84418,0.38112,2.04372,1.29001,0.86444,0.0002576,0.0002576,0.0002576
46,21739.9,1.53516,0.63878,0.82771,0.93238,0.75759,0.84048,0.41381,1.8627,1.35383,0.86394,0.000218,0.000218,0.000218
47,22206.3,1.51743,0.62379,0.81945,0.88603,0.79121,0.85692,0.4294,1.94903,1.3699,0.86231,0.0001784,0.0001784,0.0001784
48,22671.8,1.4675,0.63576,0.80492,0.97281,0.8022,0.85733,0.41437,1.95985,1.3573,0.86578,0.0001388,0.0001388,0.0001388
49,23143,1.47114,0.6103,0.80336,0.98797,0.78022,0.86066,0.4475,1.92762,1.29669,0.86377,9.92e-05,9.92e-05,9.92e-05
50,23614,1.47946,0.60364,0.817,0.98753,0.78022,0.86151,0.44753,1.93586,1.29565,0.86361,5.96e-05,5.96e-05,5.96e-05
