epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.562,2.63308,10.1931,0.94935,0.00024,0.07692,0.00014,3e-05,3.15325,10.0269,0.99985,0.000654762,0.000654762,0.000654762
2,966.252,2.35918,5.46618,0.88499,0.37315,0.34066,0.25958,0.06493,2.74196,5.33285,0.94489,0.00129526,0.00129526,0.00129526
3,1471.91,2.21535,3.47251,0.88417,0.93753,0.65969,0.68096,0.28746,2.28771,3.73612,0.97651,0.00190937,0.00190937,0.00190937
4,1946.75,2.29528,2.69449,0.88553,0.95265,0.66336,0.72417,0.32722,2.26535,2.46929,0.91254,0.0018812,0.0018812,0.0018812
5,2425.89,2.10106,1.97704,0.84585,0.75909,0.24176,0.35497,0.14035,2.77409,3.81628,1.00319,0.0018416,0.0018416,0.0018416
6,2896.23,2.10565,1.61523,0.86376,0.72511,0.67033,0.58852,0.22676,2.34308,1.96773,0.90641,0.001802,0.001802,0.001802
7,3376.49,2.10178,1.37901,0.86581,0.9294,0.64835,0.69841,0.29996,2.47238,2.00465,0.92503,0.0017624,0.0017624,0.0017624
8,3847.6,2.10729,1.27776,0.8699,0.77828,0.53846,0.51839,0.14261,2.73322,1.84705,0.96074,0.0017228,0.0017228,0.0017228
9,4326.09,2.00461,1.11945,0.85342,0.98477,0.71073,0.79171,0.39205,1.88999,1.59515,0.86589,0.0016832,0.0016832,0.0016832
10,4795.88,2.05053,1.10585,0.85879,0.9556,0.73626,0.79674,0.38199,2.00359,1.43874,0.88154,0.0016436,0.0016436,0.0016436
11,5265.06,1.92341,0.97786,0.85132,0.96217,0.83845,0.87552,0.46613,1.84828,1.07549,0.86539,0.001604,0.001604,0.001604
12,5734.17,1.99265,1.01405,0.85238,0.98382,0.74725,0.81978,0.37859,2.11132,1.46477,0.88793,0.0015644,0.0015644,0.0015644
13,6201.35,1.89126,0.93327,0.82828,0.97789,0.71429,0.74474,0.34903,2.10734,1.50783,0.8843,0.0015248,0.0015248,0.0015248
14,6673.48,1.91866,0.90262,0.84465,0.98876,0.71429,0.75337,0.36094,2.29919,1.40238,0.92492,0.0014852,0.0014852,0.0014852
