timestamp_sec,x_center,y_center,confidence
12.11,269.91,1535.83,0.3373
154.92,1024.23,957.21,0.4196
154.96,1028.58,972.66,0.4494
155.00,1033.07,993.30,0.3577
155.08,1040.77,1087.51,0.5395
155.12,1048.68,1132.98,0.6645
155.16,1051.82,1181.19,0.6216
155.20,1051.99,1183.56,0.6486
155.24,1051.49,1141.29,0.6685
155.28,1055.57,1110.37,0.6584
155.32,1058.03,1075.10,0.6172
155.36,1057.73,1051.75,0.5702
155.40,252.94,1529.52,0.6007
155.44,245.12,1526.43,0.6180
155.48,240.93,1523.84,0.5514
155.52,1063.85,990.50,0.5467
155.56,224.02,1532.27,0.5830
155.60,1053.41,1057.72,0.7239
155.64,211.65,1533.20,0.6695
155.68,203.09,1537.40,0.6953
155.72,201.66,1541.17,0.6791
155.76,197.62,1549.56,0.5766
155.80,1021.85,1109.36,0.5136
155.84,1018.80,1078.90,0.4373
155.88,178.67,1564.35,0.4138
155.92,182.00,1574.83,0.4719
155.96,179.37,1582.12,0.4568
156.00,173.83,1580.55,0.3063
156.04,179.49,1604.66,0.4572
156.08,178.26,1626.35,0.4816
156.12,179.59,1629.34,0.5727
156.16,180.08,1644.79,0.5823
156.20,179.75,1654.53,0.5032
156.24,177.13,1669.70,0.5773
156.28,179.66,1673.71,0.5063
156.36,178.05,1696.94,0.3222
156.44,1118.80,974.83,0.4582
156.48,1137.73,967.25,0.4599
156.56,1163.29,959.90,0.6330
156.60,1176.84,955.96,0.5857
156.64,1194.85,952.65,0.5781
156.68,1210.40,953.09,0.6591
156.72,1225.13,955.97,0.3748
156.76,1245.82,956.63,0.5442
156.80,1261.33,960.31,0.4391
156.84,1279.45,967.86,0.6165
156.88,1294.06,978.80,0.6050
156.92,1313.47,983.23,0.5486
156.96,1330.96,991.76,0.6193
157.00,1352.90,998.96,0.6524
157.04,1372.34,1001.67,0.5418
157.08,1395.30,1000.08,0.6033
157.12,1423.01,993.83,0.3915
157.16,1446.17,983.95,0.6196
157.20,1475.25,962.79,0.4761
157.24,1500.99,934.82,0.4560
157.28,1519.34,904.41,0.6277
157.32,1540.12,862.28,0.5724
157.36,1551.14,834.48,0.6069
157.40,1569.12,801.91,0.4610
157.44,1585.46,787.33,0.4678
157.48,1601.94,765.00,0.4134
157.52,1617.06,746.99,0.3255
157.56,1631.85,731.85,0.5351
157.64,1658.18,718.22,0.4508
157.68,1672.62,715.59,0.5411
157.76,1696.13,717.94,0.4871
157.80,1710.39,724.01,0.4385
157.84,1720.11,729.15,0.3647
157.88,1730.96,747.83,0.5141
158.32,170.22,1726.50,0.3427
158.36,173.45,1727.26,0.3119
158.40,3006.82,692.08,0.4397
158.44,3084.60,712.61,0.6061
158.48,3153.95,743.22,0.5773
158.52,3229.18,767.00,0.4593
158.56,3295.50,793.79,0.3932
158.80,3623.34,989.61,0.6048
158.84,3669.29,1027.61,0.5726
158.88,3710.79,1065.66,0.4644
158.96,2355.51,980.64,0.3463
159.00,2356.48,981.78,0.4646
159.04,2358.59,982.42,0.4728
159.20,194.55,1726.23,0.4046
159.24,191.30,1725.40,0.3483
159.28,185.93,1720.78,0.5036
159.32,185.66,1718.72,0.4848
159.36,185.09,1719.84,0.5303
159.40,184.95,1719.03,0.4725
159.44,3783.06,863.85,0.5889
159.48,3771.35,832.54,0.5730
159.52,185.09,1719.36,0.5165
159.56,2397.48,968.93,0.5840
159.60,185.19,1719.76,0.5327
159.64,3706.74,723.06,0.6014
159.68,185.55,1718.78,0.5625
159.72,3675.27,689.25,0.5584
159.76,3655.83,676.53,0.5590
159.80,186.09,1717.58,0.5761
159.84,186.05,1717.97,0.5724
159.88,186.32,1717.60,0.5816
159.92,187.05,1718.27,0.5871
159.96,187.10,1718.36,0.5859
160.00,3547.76,637.31,0.5928
160.04,187.15,1718.19,0.5811
160.08,187.35,1718.02,0.5897
160.12,187.37,1717.79,0.5912
160.16,187.61,1716.93,0.5917
160.20,187.46,1717.06,0.5943
160.24,3433.49,683.35,0.6378
160.28,187.40,1716.43,0.5982
160.32,3392.04,714.90,0.6113
160.36,187.40,1716.83,0.5983
160.40,187.38,1717.21,0.5969
160.44,187.56,1717.73,0.5953
160.48,187.61,1717.89,0.5925
160.52,187.75,1718.19,0.5962
160.56,187.70,1717.64,0.6005
160.60,187.63,1717.66,0.5988
160.64,187.47,1717.56,0.5997
160.68,187.56,1718.16,0.6022
160.72,187.56,1719.62,0.5680
160.76,187.41,1719.09,0.5823
160.80,186.94,1717.53,0.5806
160.84,187.13,1717.30,0.6019
160.88,188.02,1718.34,0.5752
160.92,192.21,1720.56,0.5432
160.96,3439.25,327.85,0.6188
161.00,192.41,1718.78,0.5555
161.04,193.63,1718.55,0.5557
161.08,194.33,1719.23,0.5587
161.12,194.07,1718.27,0.5846
161.16,193.58,1717.95,0.5991
161.20,193.56,1717.77,0.6090
161.24,193.44,1717.62,0.6080
161.28,193.89,1716.91,0.6185
161.32,194.27,1717.59,0.6153
161.36,194.44,1717.78,0.6130
161.40,194.39,1717.16,0.6182
161.44,193.81,1717.15,0.6193
161.48,193.36,1716.26,0.6243
161.52,193.07,1716.65,0.6175
161.56,192.94,1717.64,0.6138
161.60,193.09,1717.49,0.6257
161.64,192.91,1717.90,0.6296
161.68,192.32,1717.50,0.6182
161.72,192.72,1718.23,0.6198
161.76,192.13,1717.91,0.6126
161.80,191.80,1718.58,0.6009
161.84,193.00,1715.90,0.6099
161.88,194.66,1714.55,0.5965
161.92,194.40,1711.43,0.6577
161.96,194.99,1710.58,0.6655
162.00,195.19,1709.84,0.6724
162.04,196.07,1710.73,0.6640
162.08,195.54,1711.17,0.6620
162.12,3588.78,372.70,0.6897
162.16,3587.26,414.19,0.6848
162.20,195.45,1710.69,0.6598
162.24,195.12,1708.28,0.6498
162.28,196.17,1708.44,0.3940
162.32,202.20,1708.99,0.4325
162.40,3558.90,671.29,0.5674
162.44,3550.45,720.70,0.6899
162.48,3543.33,777.53,0.6121
162.52,3512.55,774.63,0.3123
162.56,3470.68,759.48,0.6014
162.60,195.03,1716.69,0.5626
162.64,189.33,1721.80,0.4988
162.68,3328.73,723.05,0.5949
162.72,3282.45,716.75,0.5856
162.76,182.32,1727.53,0.6584
162.80,177.88,1724.89,0.6509
162.84,3125.78,718.89,0.5785
162.88,173.86,1724.91,0.3798
162.92,174.13,1723.32,0.5359
162.96,174.55,1725.02,0.4219
163.08,169.74,1720.41,0.5390
163.12,166.68,1717.61,0.5847
163.16,2670.85,844.42,0.4957
163.20,157.17,1709.81,0.3305
163.28,2476.63,948.98,0.5420
163.32,2414.43,999.53,0.5189
163.40,2355.43,1026.02,0.3784
163.44,2403.90,986.52,0.6436
163.48,2464.12,948.90,0.3716
163.52,2510.42,907.82,0.5909
163.56,2560.27,872.22,0.3737
163.64,2664.16,806.07,0.4940
163.68,2708.41,773.49,0.5357
163.76,2816.99,726.51,0.4785
163.88,2963.41,667.97,0.3507
163.92,3012.84,658.65,0.6209
163.96,3065.77,645.15,0.5971
