cam_id1,cam_id2,timestamp_sec,X,Y,Z
3,1,154.96,-12.200944069412824,0.0295978179640218,1.1862532446140557
3,1,155.0,-12.172033758007,0.0102131398979593,1.1219687751659788
3,1,155.08,-12.08787101473413,0.0604331086669485,0.7212666003592393
6,5,155.08,-10.695289198780392,-1.6353075079071793,0.1053011650030342
3,1,155.12,-12.035500788292826,0.0753613337769674,0.494106652432601
3,1,155.16,-11.996547037304197,0.1129556525740567,0.2602337928208019
3,1,155.2,-12.037439110199973,0.0473208594297687,0.1275873020525091
3,1,155.24,-12.06851387524168,0.0040545228418837,0.3178951312526678
3,1,155.28,-12.055970068965411,0.0175334702629584,0.4704902632681317
3,1,155.32,-12.05845308847918,0.0185722052535096,0.6316437880046669
3,1,155.36,-12.061429614756335,0.0227008659549285,0.7611492105977493
3,1,155.4,-15.442183946450466,-3.8083178942575424,1.826370799788941
3,1,155.44,-15.490012774960624,-3.88408825645969,1.9201038156952908
3,1,155.48,-15.51356719570875,-3.966415362478784,1.9890647609073864
3,1,155.52,-12.050228413139296,-0.0342130348269654,1.1241006687076758
3,1,155.56,-15.57452423578192,-4.058008241907398,2.028606318509788
3,1,155.6,-12.044526140775126,0.0394408116505317,0.8755051864333152
3,1,155.64,-15.538092297437858,-3.860426801154892,1.7870144311232443
3,1,155.68,-15.52659311284356,-3.797736604336571,1.6597156614389947
3,1,155.72,-15.490026786149352,-3.668711901041701,1.4774845119134734
3,1,155.76,-15.508999412878646,-3.6868923629604713,1.4783082648827306
3,1,155.8,-12.208288985219086,0.0110724271711761,0.4707623133914795
3,1,155.84,-12.229508052398309,-0.0031433183854423,0.6346394085148251
3,1,155.88,-15.668423566530048,-3.910501605377642,1.7813717150311892
6,5,155.88,-10.741405909237772,-1.6258160078604704,-0.0332052505478866
3,1,155.92,-15.692368696425914,-3.957430563104887,1.8357975132743936
1,2,156.12,-15.606498350985213,-1.5529266566359394,-1.147743954894727
3,1,156.56,-11.600739143965653,0.0694618545979963,1.2532456531360934
3,1,156.6,-11.543975252853963,0.0585595578867625,1.273793340349641
6,5,156.6,-10.296194773448976,-1.392013255350022,0.6505535025552632
6,5,156.64,-10.241238980863066,-1.3790413394113703,0.6782837207302482
3,1,156.8,-11.160637369696484,0.0543198125779765,1.2659385347316336
3,1,156.84,-11.073401726179734,0.0463072499418346,1.2499611544638576
3,1,156.88,-11.002187643114144,0.043636396516182,1.201733874499744
3,1,156.92,-10.907870913040522,0.0557166566516463,1.1824979085239429
3,1,156.96,-10.821894166934252,0.0543964614983217,1.1538613035081753
3,1,157.0,-10.730613089883011,0.0065559341593345,1.1224438330796234
6,5,157.0,-9.704133907417951,-1.1801675331018735,0.694763360503688
6,5,157.04,-9.618793078103478,-1.1911487034477874,0.6777354089544514
3,1,157.04,-10.645042577782352,-0.0090729813366519,1.1055398615348635
3,1,157.08,-10.554570820562498,-0.0617635077530961,1.117514677787575
1,2,157.08,-10.85023343439006,-1.2150268362615462,1.8301621006365156
1,2,157.12,-10.762580150222206,-1.3422958277059716,1.891119754969084
3,1,157.12,-10.436754189740007,-0.0846387349795411,1.1456322891909387
13,3,157.16,-10.561042422007455,-0.3295861054993819,1.305861185562259
6,5,157.16,-9.385439526823122,-1.1963449647678883,0.8128011888304703
5,13,157.16,-10.344841811597115,-0.3386302806086719,1.2122424923312078
1,2,157.16,-10.687692681205476,-1.430120456395361,1.9537700093432533
3,1,157.16,-10.34632135743471,-0.1340249302699667,1.208345438960894
6,5,157.2,-9.319911134381831,-1.2043152137941149,0.924113256585792
13,3,157.2,-10.438040302143724,-0.3370217677184862,1.3981420478610933
3,1,157.2,-10.22555947541936,-0.1451907112485982,1.3085145149999275
5,13,157.2,-10.29263508565388,-0.3445404008674175,1.335560432411989
1,2,157.2,-10.592476435802938,-1.517031024307908,2.056009739637568
3,1,157.24,-10.12911243485011,-0.1595515062604704,1.4228742081949894
1,2,157.24,-10.508422772398973,-1.5764821154855044,2.17366197910476
13,3,157.28,-10.2383182125582,-0.3623012815059983,1.64939072932639
1,2,157.28,-9.97821572417636,0.0778226179427493,1.5821341595970098
3,1,157.28,-10.071640325275522,-0.2074964427415576,1.581936343272658
5,13,157.28,-10.126911942478056,-0.3694655055131344,1.6139749128382348
5,13,157.32,-10.09224739748667,-0.384758085959511,1.7984367266919563
6,5,157.32,-9.132623913340586,-1.2271629389955294,1.4087876145441125
13,3,157.32,-10.135877026734487,-0.380155042258972,1.7942929314563558
3,1,157.32,-10.02210981775688,-0.2707979725452888,1.7656128141942216
5,13,157.36,-10.03910874295831,-0.4191748553814364,1.965216695843765
3,1,157.36,-9.977435120926094,-0.2857590054059186,1.9479653373276276
