timestamp_sec,x_center,y_center,confidence
156.12,163.30,1301.39,0.3887
157.08,669.45,876.19,0.3431
157.12,669.47,876.65,0.3779
157.16,670.02,876.67,0.3678
157.20,670.62,876.82,0.3550
157.24,670.65,876.81,0.3122
157.28,816.36,1018.25,0.3431
157.84,858.85,920.92,0.3229
158.00,949.92,900.37,0.3414
158.40,1396.58,834.06,0.4353
158.44,1446.46,839.25,0.3797
158.56,1592.73,866.10,0.3585
158.68,1742.26,912.07,0.5508
158.72,1795.36,938.56,0.4516
159.20,2240.93,1106.68,0.5407
159.48,2211.37,898.84,0.5207
159.52,2209.56,875.30,0.6122
159.56,2205.75,860.55,0.5567
159.60,2201.78,839.22,0.4158
159.64,2199.39,823.84,0.4289
159.84,674.06,872.52,0.3161
159.88,673.13,872.87,0.3460
159.92,2172.29,761.74,0.4484
160.24,2142.79,803.75,0.3867
160.32,2138.12,821.02,0.5006
160.36,2130.00,835.09,0.5962
160.44,2126.12,870.74,0.5732
160.48,2124.11,883.52,0.4550
160.60,2119.78,873.28,0.3062
160.64,2121.85,830.75,0.3458
160.68,2124.45,796.76,0.4661
160.72,2127.49,760.17,0.5636
161.24,2160.88,480.53,0.3193
161.36,2164.89,448.50,0.4106
161.40,2165.70,444.05,0.5058
161.44,2167.04,439.27,0.4426
161.48,2171.73,436.11,0.3016
162.56,2142.95,863.15,0.3821
162.64,2055.81,842.12,0.5144
162.68,2012.07,838.35,0.5399
162.72,1970.66,836.86,0.3569
162.84,1851.44,839.02,0.3338
163.80,1335.15,866.21,0.3759
164.00,1355.66,802.47,0.5243
164.04,1357.24,797.28,0.4763
164.08,1363.64,791.62,0.6368
164.12,1371.40,787.54,0.5591
164.16,1375.69,788.02,0.3271
164.32,1395.30,799.95,0.5348
164.36,1405.65,808.23,0.4534
164.40,1410.54,826.05,0.5649
164.56,1432.74,899.86,0.5174
164.72,1476.63,1024.20,0.5586
164.76,1479.46,1065.17,0.6107
165.00,1555.26,1380.70,0.3724
165.56,1632.20,1576.48,0.4863
165.60,1628.70,1562.97,0.5868
165.64,1631.09,1554.08,0.4157
165.76,1631.39,1539.40,0.3800
165.80,1622.73,1541.24,0.4814
165.84,1622.89,1547.46,0.4956
165.88,1621.85,1555.61,0.4485
165.92,1625.67,1564.71,0.4961
165.96,1618.68,1578.72,0.3994
