cam_id1,cam_id2,timestamp_sec,X,Y,Z
3,1,155.0,-12.163111,0.06794212,1.0728992
6,5,155.0,-10.712682,-1.6158725,0.47698772
3,1,155.04,-12.143625,0.02043101,0.9417074
3,1,155.08,-12.091838,0.08428358,0.70077187
1,2,155.12,-11.932858,0.95276177,0.1731768
3,1,155.12,-12.056763,0.052076254,0.5018326
2,4,155.12,-31.46023,34.431484,-8.757681
3,1,155.16,-12.0220375,0.016068863,0.2802716
1,2,155.16,-11.902163,0.8957879,-0.05727792
2,4,155.16,-31.440794,34.41018,-8.867927
1,2,155.2,-11.892269,0.94254065,-0.13104405
3,1,155.2,-12.056147,0.009003344,0.13283838
2,4,155.2,-31.413431,34.355534,-8.97105
1,2,155.24,-11.886214,0.97554106,0.045471273
3,1,155.24,-12.073125,-0.060386494,0.3278924
3,1,155.28,-12.065769,0.042545214,0.45785117
3,1,155.32,-12.076716,-0.080971636,0.6669229
3,1,155.36,-12.089107,-0.08140182,0.8102173
3,1,155.4,-12.078854,-0.009643167,0.9011597
3,1,155.44,-12.087038,-0.0072465446,1.0100937
3,1,155.48,-12.075278,-0.07411243,1.1254748
3,1,155.52,-12.064134,-0.05482074,1.1241695
3,1,155.56,-12.025168,-0.044166625,1.062479
3,1,155.6,-12.039301,0.046056997,0.85287136
1,2,155.68,-11.936306,1.0158248,0.006989609
1,2,155.76,-11.973314,1.0549229,-0.020324571
3,1,155.76,-12.153035,0.027923686,0.2679513
3,1,155.8,-12.188092,0.02732298,0.43890736
3,1,155.84,-12.220967,-0.041112304,0.6250216
3,1,155.88,-12.239257,-0.035515465,0.7762026
1,2,156.2,-12.015319,0.81172043,1.2018235
1,2,156.24,-11.97951,0.77028835,1.2370633
3,1,156.28,-12.043806,-0.06246776,1.0587082
1,2,156.28,-11.942438,0.7053235,1.2586155
1,2,156.32,-11.906377,0.65462977,1.279381
3,1,156.32,-12.001804,-0.078200325,1.0806977
3,1,156.36,-11.947953,-0.08306646,1.1130787
1,2,156.36,-11.857415,0.5911433,1.3285625
1,2,156.4,-11.802619,0.5135902,1.3746603
1,2,156.44,-11.758006,0.45192167,1.4197224
1,2,156.48,-11.703234,0.38324347,1.4719284
3,1,156.48,-11.737328,0.05479672,1.1992948
3,1,156.52,-11.664288,0.070244566,1.2198439
2,4,156.52,94.93202,-155.99985,67.91513
1,2,156.52,-11.647857,0.29275027,1.5158293
1,2,156.56,-11.595078,0.2171868,1.5499616
2,4,156.56,93.04461,-153.29327,66.76306
3,1,156.56,-11.5951,0.08407941,1.2388424
3,1,156.6,-11.532531,0.06679858,1.265619
1,2,156.6,-11.545002,0.13211912,1.5904453
1,2,156.64,-11.491293,0.03917736,1.6171333
1,2,156.68,-11.430379,-0.060062665,1.6558788
1,2,156.72,-11.372156,-0.16709116,1.6740254
3,1,156.76,-11.237986,0.018998653,1.2551506
1,2,156.76,-11.319982,-0.3028207,1.7136106
1,2,156.8,-11.265035,-0.39781278,1.7222065
1,2,156.88,-11.16386,-0.6081157,1.736913
1,2,157.04,-10.547562,0.38075572,1.0134348
1,2,157.08,-10.445939,0.3401164,1.0320394
3,1,157.12,-10.461921,-0.16310735,1.1700321
1,2,157.12,-10.345593,0.2716201,1.0883596
3,1,157.2,-10.227679,-0.18359584,1.2968823
1,2,157.2,-10.128117,0.15008917,1.2563356
3,1,157.24,-10.165734,-0.25655863,1.4380144
3,1,157.28,-10.109811,-0.29402113,1.6104796
1,2,157.28,-9.977482,0.10718828,1.5892044
1,2,157.32,-9.925534,0.0919644,1.7572916
3,1,157.32,-10.054988,-0.30650616,1.7834275
3,1,157.36,-9.998,-0.335416,1.9353935
1,2,157.36,-9.866732,0.07269224,1.909707
1,2,157.4,-9.805289,0.028168062,2.0535154
3,1,157.4,-9.927271,-0.34299386,2.065799
3,1,157.44,-9.892758,-0.36252943,2.2064133
1,2,157.44,-9.76249,0.030518215,2.1956737
1,2,157.48,-9.699152,-0.0055904724,2.2964222
3,1,157.48,-9.825399,-0.3913897,2.3117175
3,1,157.52,-9.743856,-0.37577462,2.4099362
1,2,157.52,-9.640566,-0.06343991,2.3955028
12,7,157.52,-6.725013,-0.45477757,2.6585224
1,2,157.56,-9.588479,-0.06835746,2.4524767
3,1,157.56,-9.701594,-0.4221989,2.4836369
3,1,157.6,-9.66193,-0.4689763,2.5505052
1,2,157.64,-9.481034,-0.1371815,2.5600145
3,1,157.64,-9.576757,-0.42585877,2.5667837
12,7,157.64,-6.52631,-0.5166565,2.8258548
12,7,157.68,-6.4989076,-0.53040487,2.853581
1,2,157.68,-9.430023,-0.16412954,2.5891275
1,2,157.72,-9.3797455,-0.21260688,2.611788
12,7,157.72,-6.4558125,-0.5485729,2.8587413
1,2,157.76,-9.328828,-0.26584116,2.606457
12,7,157.76,-6.4064956,-0.5679784,2.8530958
1,2,157.8,-9.285046,-0.262703,2.5900528
1,2,157.84,-9.227118,-0.28472298,2.5466335
1,2,157.88,-9.177386,-0.34945336,2.5064137
1,2,157.92,-8.927692,-0.72734416,2.638358
12,7,157.96,-5.7059793,-0.7587577,2.948601
12,7,158.04,-4.8989925,-0.931853,3.186608
2,4,158.08,-14.996874,15.7202215,-2.8132093
13,3,158.12,-12.545261,-0.75748384,4.550329
12,7,158.24,-2.9047642,-1.3703545,3.6045935
12,7,158.32,-2.1488762,-1.5302488,3.6670375
12,7,158.4,-1.5050092,-1.690162,3.6321995
12,7,158.44,-1.1886836,-1.7563252,3.5877516
1,2,158.48,-3.0202963,-2.3218546,3.4959617
12,7,158.48,-0.8390603,-1.8312552,3.5455396
1,2,158.56,-2.1914878,-2.313163,3.3323467
1,2,158.6,-1.7898061,-2.3140557,3.2216735
1,2,158.64,-1.3847796,-2.265505,3.0536172
12,7,158.68,0.7397318,-2.157201,3.055595
7,8,158.68,11.054517,1.1520333,3.3571658
2,4,158.76,-0.022329034,-1.0989476,2.270032
1,2,158.76,-0.111756854,-2.0927176,2.5300295
1,2,158.8,0.28650472,-2.049046,2.3300722
1,2,158.88,1.1957667,-1.8047295,1.8673449
1,2,158.92,1.6458814,-1.6684608,1.6266257
8,6,158.96,1.8829386,-2.6703744,1.7697169
8,6,159.04,2.5758026,-2.7032576,1.3383887
8,6,159.08,2.9518056,-2.6971874,1.1095445
8,6,159.12,3.2773097,-2.6603222,0.905387
8,6,159.16,3.3270192,-2.420601,1.2311394
8,6,159.24,3.3109083,-2.0710807,1.7467568
6,5,159.24,3.4899735,-2.8954744,1.2790637
5,13,159.24,1.9035189,-2.0030334,1.6793324
4,12,159.32,3.3152287,-1.4833814,2.1890008
1,2,159.36,3.6635282,0.22226012,2.0339158
1,2,159.4,3.618867,0.34326887,2.2458057
2,4,159.4,3.3441253,-1.2039106,2.6315327
1,2,159.44,3.6365182,0.5544995,2.4191947
2,4,159.44,3.351466,-1.0523053,2.8026237
1,2,159.48,3.6150985,0.7047697,2.5742474
2,4,159.48,3.3285484,-0.90150446,2.9628603
1,2,159.52,3.6281724,0.9003352,2.7263567
1,2,159.64,3.522243,1.3351799,3.1024892
1,2,159.72,3.475873,1.628221,3.2745066
12,7,159.76,3.4701684,0.20059106,3.7403076
1,2,159.76,3.4950533,1.8041015,3.3012702
12,7,159.8,3.4547954,0.3791728,3.7779348
1,2,159.8,3.4371264,1.9202439,3.3783705
1,2,159.84,3.4296353,2.0839067,3.3965862
1,2,159.88,3.4361043,2.2572951,3.400175
1,2,159.92,3.4003448,2.3597121,3.4081655
1,2,159.96,3.4082992,2.5451622,3.3804936
12,7,160.0,3.358372,1.1849802,3.7425716
1,2,160.04,3.338418,2.7811215,3.3131614
4,12,160.16,3.120698,1.8476542,3.2714698
1,2,160.24,3.278497,3.5100029,2.8439653
1,2,160.28,3.2298567,3.5905447,2.7138803
1,2,160.32,3.2362807,3.7392035,2.5697331
1,2,160.36,3.2413511,3.9027958,2.402447
3,1,160.4,3.0677898,3.7815409,2.127723
13,3,160.44,1.144742,2.7493567,2.407246
3,1,160.44,2.9601045,3.8015468,1.9660573
3,1,160.48,2.912776,3.8944242,1.806606
1,2,160.48,3.1827433,4.2754555,1.8156636
2,4,160.52,2.9520195,3.3349884,1.8909303
4,12,160.52,1.8186173,5.3171782,1.5035306
1,2,160.52,3.1433592,4.3756204,1.6295886
3,1,160.52,2.8696175,3.9946628,1.6202593
1,2,160.56,3.0077052,4.1715364,1.9285151
3,1,160.56,3.2415671,4.389046,1.5632571
3,1,160.6,3.292655,4.3886204,1.9241798
1,2,160.6,3.020549,4.1348777,2.319522
3,1,160.64,3.2575622,4.34526,2.2774408
1,2,160.64,3.0755508,4.2114196,2.6693168
3,1,160.68,3.278753,4.342499,2.621138
