epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.329,2.77341,12.8461,0.99968,0.00012,0.03871,6e-05,1e-05,2.31107,8.77896,0.88038,0.000649123,0.000649123,0.000649123
2,819.372,2.65827,6.8254,0.92252,0.00241,0.7871,0.03425,0.0184,2.00419,6.7575,0.86265,0.00128974,0.00128974,0.00128974
3,1264.39,2.44683,4.96394,0.90346,0.92251,0.46087,0.84759,0.35685,2.09419,4.53828,0.88331,0.00190395,0.00190395,0.00190395
4,1689.04,2.39025,3.87284,0.8894,0.79444,0.74839,0.72692,0.19266,2.72972,3.77792,0.97854,0.0018812,0.0018812,0.0018812
5,2100.27,2.13541,2.93084,0.86732,0.92867,0.83996,0.86572,0.3493,2.1949,2.26369,0.88561,0.0018416,0.0018416,0.0018416
6,2487.94,2.17602,2.40491,0.86873,0.84901,0.87067,0.89196,0.38741,2.19287,1.82746,0.87423,0.001802,0.001802,0.001802
7,2869.93,2.1592,2.14809,0.86721,0.89458,0.79355,0.82651,0.31794,2.20165,2.29257,0.89518,0.0017624,0.0017624,0.0017624
8,3249.19,2.18806,1.7969,0.86875,0.95899,0.90513,0.9502,0.39447,1.96315,1.53577,0.86262,0.0017228,0.0017228,0.0017228
9,3630.76,2.03469,1.59874,0.84215,0.85616,0.77419,0.77135,0.26816,2.22728,1.50672,0.87709,0.0016832,0.0016832,0.0016832
10,4012.25,2.15758,1.49838,0.8559,0.81388,0.74194,0.74562,0.32421,2.55568,1.46839,0.93806,0.0016436,0.0016436,0.0016436
11,4393.7,2.04045,1.32528,0.85084,0.92954,0.85116,0.89326,0.45077,2.06083,1.17987,0.87624,0.001604,0.001604,0.001604
12,4771.31,2.12254,1.3154,0.86464,0.77157,0.70323,0.71851,0.29399,2.53151,1.27046,0.92338,0.0015644,0.0015644,0.0015644
13,5153.79,2.01734,1.19528,0.85302,0.9479,0.92258,0.95055,0.43787,1.84148,1.00969,0.85271,0.0015248,0.0015248,0.0015248
14,5534.5,1.98099,1.09659,0.83998,0.96323,0.92903,0.95179,0.3983,2.042,1.00672,0.87436,0.0014852,0.0014852,0.0014852
15,5922.19,2.00291,1.12291,0.84348,0.95597,0.94194,0.95587,0.46234,1.84317,1.01822,0.85342,0.0014456,0.0014456,0.0014456
16,6302.41,1.96545,1.03153,0.8439,0.89314,0.86276,0.88421,0.34705,2.25085,1.01266,0.89626,0.001406,0.001406,0.001406
17,6682.73,1.99965,0.96329,0.85355,0.86264,0.77419,0.82979,0.39817,2.14226,1.06769,0.88052,0.0013664,0.0013664,0.0013664
18,7063.26,1.96529,1.01146,0.84526,0.9931,0.92823,0.977,0.46993,1.78699,0.91516,0.84894,0.0013268,0.0013268,0.0013268
19,7443.53,1.98155,0.97819,0.85015,0.89787,0.85079,0.88526,0.41434,2.16028,1.05105,0.88316,0.0012872,0.0012872,0.0012872
20,7825.84,1.96451,0.93097,0.84922,0.8979,0.85161,0.89509,0.43177,2.06196,0.96904,0.87089,0.0012476,0.0012476,0.0012476
21,8207.54,1.89132,0.89833,0.84039,0.86942,0.77419,0.82013,0.34355,2.54642,1.00376,0.9308,0.001208,0.001208,0.001208
22,8588.59,1.97654,0.94305,0.85008,0.91045,0.8527,0.90905,0.40064,2.16504,0.94967,0.88396,0.0011684,0.0011684,0.0011684
23,8970.36,1.93933,0.89901,0.84488,0.90708,0.88168,0.93282,0.45591,1.9555,0.88029,0.86536,0.0011288,0.0011288,0.0011288
24,9351.59,1.9306,0.92937,0.83767,0.84281,0.83018,0.83427,0.39643,2.25212,0.93361,0.89805,0.0010892,0.0010892,0.0010892
25,9735.19,1.88766,0.88539,0.84866,0.94164,0.83283,0.91707,0.45154,1.97564,0.83559,0.86469,0.0010496,0.0010496,0.0010496
26,10117.4,1.87777,0.86967,0.84041,0.98047,0.97146,0.98343,0.50786,1.82242,0.77103,0.84953,0.00101,0.00101,0.00101
27,10497.7,1.8035,0.8149,0.8366,0.97439,0.89677,0.95718,0.44885,1.95909,0.83326,0.86316,0.0009704,0.0009704,0.0009704
28,10880,1.8353,0.82459,0.84243,0.80612,0.77791,0.82448,0.35624,2.4132,0.9508,0.89815,0.0009308,0.0009308,0.0009308
29,11258.9,1.82694,0.80656,0.83988,0.95135,0.90968,0.94004,0.46093,1.83006,0.79247,0.85475,0.0008912,0.0008912,0.0008912
